Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1724004411
GapActivityDetailUpsell,1662419083
GapActivityDetailUpsell,1662419122
GapActivityDetailFeatureEd,1727896862
GapActivityDetailFeatureEd,1727896877
GapActivityDetailFeatureEd,1727896915
RecordScreenBeaconCoachmark,1661642274
MapSettingsPersonalHeatmapCoachmark,1661642266
MapVisibilityFeedCoachmarkImpression,1662316039
MapVisibilityFeedCoachmarkImpression,1662316735
MapVisibilityFeedCoachmarkImpression,1662316744
MapVisibilityFeedCoachmarkImpression,1662316778
MapVisibilityFeedCoachmarkImpression,1662408070
MapVisibilityFeedCoachmarkImpression,1662408785
MapVisibilityRowReinforcementImpression,1662316778
MapVisibilityRowReinforcementImpression,1662408070
MapVisibilityRowReinforcementImpression,1662408780
MapVisibilityRowReinforcementImpression,1662408784
MapVisibilityRowReinforcementImpression,1662408785
MapVisibilityRowReinforcementImpression,1662408787
MapVisibilityActivityCoachmarkImpression,1662408799
MapVisibilityActivityCoachmarkImpression,1662419081
MapVisibilityActivityCoachmarkImpression,1662419120
MapVisibilityActivityCoachmarkImpression,1664986439
MapVisibilityActivityCoachmarkImpression,1727811354
MapVisibilityActivityCoachmarkDismissed,1727811358
RouteFromActivityMoreOptionsButtonCoachmark,1662316792
RouteFromActivitySaveButtonCoachmark,1662419071
MapVisibilitySettingCogCoachmark,1668788734
MapVisibilitySettingCogCoachmark,1668788745
Map3dEducationVisibility,1661642323
RouteLongPressCoachmark,1664982820
MentionsSettingCogCoachmark,1662132055
DirtSportsSportPicker,1661642274
DirtSportsSportPicker,1662130842
MapsTabDirtSports,1662132068
MapsTabDirtFirstTimeExperienceFree,1662132068
OfflineMapsFirstTimeExperience,1661642277
VideoNotificationHardLimit,1726864740
FollowingFeedDoradoCooldown,1661642254
FollowingFeedDoradoCooldown,1662130781
FollowingFeedDoradoCooldown,1662316039
FollowingFeedDoradoCooldown,1662408070
FollowingFeedDoradoCooldown,1662419067
FollowingFeedDoradoCooldown,1664982118
NavigationTabMapsEdu,1661642266
NavigationTabGroupsEdu,1662132077
FollowModeCoachmark,1662130784
WebMediaUploaderFeatureEd2,1728328492
FollowingFeedDoradoCooldownSix,1699354067
FollowingFeedDoradoCooldownSix,1699354068
FollowingFeedDoradoCooldownSix,1699354189
FollowingFeedDoradoCooldownSix,1699354190
FollowingFeedDoradoCooldownSix,1730558170
FollowingFeedDoradoCooldownSix,1730559338
FollowingFeedDoradoCooldownSix,1730567438
FollowingFeedDoradoCooldownSix,1730567463
FollowingFeedDoradoCooldownSix,1730571977
FollowingFeedDoradoCooldownSix,1730573533
FollowingFeedDoradoCooldownSix,1730627882
FollowingFeedDoradoCooldownSix,1730627909
ActivitySaveWalkthrough,1724345610
IosSubscriptionOverviewAppIconNew,1699354095
IosSubscriptionOverviewAppIconNew,1699354105
IosSubscriptionOverviewAppIconNew,1699354168
NewTermsOfService,1699354070
YouTabProfileMove,1699354071
RecordScreenSpotifyCoachmark,1724336847
ChatFeatureTryCtaImpression,1724004325
FlyoverEducationCoachmark,1724172656
ActivityDetailsShareCoachmark,1727811391
HealthDataConsentNotification,1724345627
HealthDataConsentNotification,1726331086
HealthDataConsentNotification,1726690617
ActivityQuickEdit,1730047426
ActivityQuickEdit,1730156674
ActivityQuickEdit,1730156780
ActivityQuickEdit,1730156794
ActivityQuickEdit,1730156810
ActivityQuickEdit,1730189960
ActivityQuickEdit,1730189966
ActivityQuickEdit,1730189986
ActivityQuickEdit,1730558170
ActivityQuickEdit,1730558172
ActivityQuickEdit,1730558185
ActivityQuickEdit,1730558219
ActivityQuickEdit,1730558252
ActivityQuickEdit,1730559336
ActivityQuickEdit,1730559338
ActivityQuickEdit,1730567438
ActivityQuickEdit,1730567444
ActivityQuickEdit,1730567451
ActivityQuickEdit,1730571977
ActivityQuickEdit,1730571978
ActivityQuickEdit,1730571987
ActivityQuickEdit,1730572404
ActivityQuickEdit,1730572407
ActivityQuickEdit,1730572673
ActivityQuickEdit,1730572700
ActivityQuickEdit,1730573533
ActivityQuickEdit,1730627882
CelebrationNthActivity30,1729720592
MapsRedesignModalUnseen,1724172619
ActivityQuickEditADP,1730156674
ActivityQuickEditADP,1730156780
ActivityQuickEditADP,1730156794
ActivityQuickEditADP,1730156810
ActivityQuickEditADP,1730558172
ActivityQuickEditADP,1730558185
ActivityQuickEditADP,1730558219
ActivityQuickEditADP,1730558252
ActivityQuickEditADP,1730571978
AchievementShareModal,1728934054
AchievementShareModal,1729720593
AchievementShareModal,1730558420
AchievementShareModal,1730558421
QuickEditCoachmark,1727811355
QuickEditCoachmark,1727811392
QuickEditCoachmark,1727811396
TermsOfServiceModal2024,1727811608
WebMapsBuilderAlert,1728328474
WebMapsBuilderAlert,1728378323
NewAthleteIntelligenceCalculations,1730558180
NewAthleteIntelligenceCalculations,1730558224
NewAthleteIntelligenceCalculations,1730558258
NewAthleteIntelligenceCalculations,1730572420
AthleteIntelligenceActivityEdits,1727811392
AthleteIntelligenceActivityEdits,1727811405
AthleteIntelligenceActivityEdits,1727811430
AthleteIntelligenceActivityEdits,1727811438
AthleteIntelligenceActivityEdits,1727811442
AthleteIntelligenceActivityEdits,1727811452
AthleteIntelligenceActivityEdits,1727811465
AthleteIntelligenceActivityEdits,1727811479
AthleteIntelligenceActivityEdits,1727811533
AthleteIntelligenceActivityEdits,1727811581
AthleteIntelligenceActivityEdits,1727811590
AthleteIntelligenceActivityEdits,1728214173
AthleteIntelligenceActivityEdits,1728214248
AthleteIntelligenceActivityEdits,1728837763
AthleteIntelligenceActivityEdits,1728933987
AthleteIntelligenceActivityEdits,1728934057
AthleteIntelligenceActivityEdits,1729720730
AthleteIntelligenceActivityEdits,1729720738
AthleteIntelligenceActivityEdits,1730558180
AthleteIntelligenceActivityEdits,1730558224
AthleteIntelligenceActivityEdits,1730558258
AthleteIntelligenceActivityEdits,1730572420
AthleteIntelligenceFirstTimeCoachmark,1728837764
AthleteIntelligenceFirstTimeCoachmark,1728933988
AthleteIntelligenceActivityEdits,1729720738
ActivityQuickEdit,1730627882
ActivityQuickEdit,1730573533
ActivityQuickEdit,1730572700
ActivityQuickEdit,1730572673
ActivityQuickEdit,1730572407
ActivityQuickEdit,1730572404
ActivityQuickEdit,1730571987
ActivityQuickEdit,1730571977
ActivityQuickEdit,1730567451
ActivityQuickEdit,1730567444
